zcta10,puma10,pumaname,nameshort,per_in_puma,per_of_puma
11364,04104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck","Bayside, Douglaston & Little Neck",0.998,0.295
11365,04106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest","Briarwood, Fresh Meadows & Hillcrest",0.747,0.205
11366,04106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest","Briarwood, Fresh Meadows & Hillcrest",1,0.088
11367,04106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest","Briarwood, Fresh Meadows & Hillcrest",0.903,0.241
11368,04107,NYC-Queens Community District 4--Elmhurst & South Corona,Elmhurst & South Corona,0.528,0.397
11369,04102,NYC-Queens Community District 3--Jackson Heights & North Corona,Jackson Heights & North Corona,1,0.211
11370,04102,NYC-Queens Community District 3--Jackson Heights & North Corona,Jackson Heights & North Corona,0.556,0.12
11371,04102,NYC-Queens Community District 3--Jackson Heights & North Corona,Jackson Heights & North Corona,,0
11372,04102,NYC-Queens Community District 3--Jackson Heights & North Corona,Jackson Heights & North Corona,0.998,0.363
11373,04107,NYC-Queens Community District 4--Elmhurst & South Corona,Elmhurst & South Corona,0.874,0.603
11374,04108,NYC-Queens Community District 6--Forest Hills & Rego Park,Forest Hills & Rego Park,0.972,0.379
11375,04108,NYC-Queens Community District 6--Forest Hills & Rego Park,Forest Hills & Rego Park,1,0.614
11377,04109,NYC-Queens Community District 2--Sunnyside & Woodside,Sunnyside & Woodside,0.898,0.602
11378,04110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village","Ridgewood, Glendale & Middle Village",0.995,0.204
11379,04110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village","Ridgewood, Glendale & Middle Village",1,0.204
11385,04110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village","Ridgewood, Glendale & Middle Village",1,0.579
11411,04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",0.973,0.096
11412,04112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",0.952,0.15
11413,04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",0.831,0.171
11414,04113,NYC-Queens Community District 10--Howard Beach & Ozone Park,Howard Beach & Ozone Park,1,0.212
11415,04111,NYC-Queens Community District 9--Richmond Hill & Woodhaven,Richmond Hill & Woodhaven,1,0.135
11416,04111,NYC-Queens Community District 9--Richmond Hill & Woodhaven,Richmond Hill & Woodhaven,0.971,0.169
11417,04113,NYC-Queens Community District 10--Howard Beach & Ozone Park,Howard Beach & Ozone Park,0.959,0.225
11418,04111,NYC-Queens Community District 9--Richmond Hill & Woodhaven,Richmond Hill & Woodhaven,1,0.253
11419,04113,NYC-Queens Community District 10--Howard Beach & Ozone Park,Howard Beach & Ozone Park,0.513,0.196
11420,04113,NYC-Queens Community District 10--Howard Beach & Ozone Park,Howard Beach & Ozone Park,1,0.359
11421,04111,NYC-Queens Community District 9--Richmond Hill & Woodhaven,Richmond Hill & Woodhaven,1,0.274
11422,04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",1,0.161
11423,04112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",0.753,0.102
11424,04111,NYC-Queens Community District 9--Richmond Hill & Woodhaven,Richmond Hill & Woodhaven,,0
11426,04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",1,0.093
11427,04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",0.667,0.083
11428,04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",0.983,0.1
11429,04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",0.986,0.131
11430,04113,NYC-Queens Community District 10--Howard Beach & Ozone Park,Howard Beach & Ozone Park,1,0.001
11432,04106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest","Briarwood, Fresh Meadows & Hillcrest",0.582,0.23
11433,04112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",1,0.148
11434,04112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",0.883,0.236
11435,04112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",0.551,0.133
11436,04112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",1,0.081
11451,04112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",,0
11691,04114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Far Rockaway, Breezy Point & Broad Channel",1,0.522
11692,04114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Far Rockaway, Breezy Point & Broad Channel",1,0.161
11693,04114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Far Rockaway, Breezy Point & Broad Channel",1,0.104
11694,04114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Far Rockaway, Breezy Point & Broad Channel",1,0.177
11697,04114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Far Rockaway, Breezy Point & Broad Channel",1,0.035
10301,03903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariners Harbor","Port Richmond, Stapleton & Mariners Harbor",0.966,0.218
10302,03903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariners Harbor","Port Richmond, Stapleton & Mariners Harbor",1,0.109
10303,03903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariners Harbor","Port Richmond, Stapleton & Mariners Harbor",1,0.15
10304,03903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariners Harbor","Port Richmond, Stapleton & Mariners Harbor",0.667,0.16
10305,03902,NYC-Staten Island Community District 2--New Springville & South Beach,New Springville & South Beach,0.691,0.217
10306,03902,NYC-Staten Island Community District 2--New Springville & South Beach,New Springville & South Beach,0.523,0.22
10307,03901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale","Tottenville, Great Kills & Annadale",1,0.088
10308,03901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale","Tottenville, Great Kills & Annadale",1,0.171
10309,03901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale","Tottenville, Great Kills & Annadale",1,0.203
10310,03903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariners Harbor","Port Richmond, Stapleton & Mariners Harbor",1,0.142
10311,03902,NYC-Staten Island Community District 2--New Springville & South Beach,New Springville & South Beach,,0
10312,03901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale","Tottenville, Great Kills & Annadale",1,0.371
10314,03902,NYC-Staten Island Community District 2--New Springville & South Beach,New Springville & South Beach,0.696,0.447
